Disease,Scientific Name,Symptoms,Causal Organism,Mycelium,Pathogen,Survival,Spread,Favourable Conditions,Integrated Disease Management,URL
Damping Off,Pythium aphanidermatum,Pre-emergence phase : Complete rotting of seedlings.; Post-emergence phase: Infected tissues become soft and water soaked.; Seedlings topple over or collapse.,Pythium aphanidermatum (Edson) Fitzp.,"Non septate, hyaline","Asexual : Zoospores bi-flagellated, thin walled. Resting spores : Oospore.","Soil, Seed, Water",Infected debris,"High humidity, high soil moisture, cloudiness and low temperatures below 24°C for few days. ; Crowded seedlings, dampness due to high rainfall, poor drainage and excess of soil solutes.",Avoid stagnation of water.; Use raised beds of 15 cm height.; Drench with copper oxychloride 50% WP @ 2.5 g/l @ 4 l/sq.m.; Treat the seeds with metalaxyl-M 31.8% ES @ 2ml/ kg of seeds 24 hours before sowing.; Treat the seeds with Trichoderma asperellum @ 4 g/kg or Bacillus subtilis @ 10 g/kg of seeds 24 hours before sowing.; Soil application of Bacillus subtilis @ 2.5 kg/ha with 50 kg of FYM.,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_1.html
Early Blight,Alternaria solani,Brown spots with concentric rings in a bull's eye pattern with yellow margin.; Fruit gets infected through calyx or stem attachment.; Brown concentric rings on fruits.,Alternaria solani,coloured and septate,"coloured, beaked conidia with  transverse and longitudinal septae, borne singly or in chains", Infected plant debris," Infected seed; Conidia carried through rain, wind borne.","Warm, humid (24-29 degree C), rainy and wet weather.",Removal and destruction of crop debris.; Crop rotation.;Seed treatment: Trichoderma asperellum @ 4g/kg seeds.;Spray Iprodione 50% WP @ 600 g/ac or Azoxystrobin 23% SC @ 200 ml/ac or Mancozeb 35% SC @ 1 kg/ac or Metiram 70% WG @ 1.0 kg/ac or Pyraclostrobin 20% WG @ 200 g/ac or Zineb 75% WP @ 800 g/ac or Azoxystrobin 18.2%+Difenoconazole 11.4% SC @ 200 ml/ac or Metiram55% + Pyraclostrobin5% WG @ 600 g/ac or Tebuconazole 50% + Trifloxystrobin 25% WG@ 140g/ac,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_2.html
Fusarium wilt,Fusarium oxysporum,Clearing of the veinlets and yellowing of the lower leaves.; Younger leaves die in succession.; Petiole and leaves droop and wilt.; Browning of vascular system.; Entire plant wilt and die.,Fusarium oxysporum f.sp. lycopersii (Sacc.) W.C. Snyder & H.N. Hansen,,,In soil as mycelium and chlamydospores,Infected debris.; Water and planting equipment,Dry weather (high soil temperature) and low soil moisture.,Soil solarization.; Crop rotation.; Removal of infected plant.; Seed treatment with Trichoderma asperellum (viride) @ 4g/kg seeds.; Seedling dip in B. subtilis @ 5g/l and soil application of B. subtilis@ 1.0 kg with 50 kg of FYM/ac at 30 days of transplanting.,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_3.html
Septoria Leaf Spot,Septoria lycopersici,"Small, round to irregular spots with  grey centre and dark margin on leaves.; Spots coalesce and leaves are blighted.; Complete defoliation.; Stems and flowers are affected.",Septoria lycopersici Speg.,Hyaline and septate,"Pycnidiospore : filiform, septate, hyaline", Infected plant debris,Mycelium or conidia.; Conidia through rain splash or wind.,High humidity ,Removal and destruction of affected plant parts.; Seed treatment :Trichoderma asperellum @ 4g/kg seeds.; Fluxapyroxad 250 g/l + Pyraclostrobin 250 g/l SC - 200-250 ml/ha.,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_4.html
Late Blight,Phytophthora infestans,Water-soaked black lesions on leaves and stems; Lesions expand rapidly and the entire leaf becomes necrotic.; White sporulation (sporangia and sporangiophores) on leaves.,Phytophthora infestans(Mont.) de Bary,,Hyaline and coenocytic,Infected Debris,Infected Debris.; Wind.,"Cool nights, warm days and extended wet conditions from rain and fog.; Sporangia formed when RH is < 90%.; Optimum temp for sporulation is 18 - 22oC.",Proper drainage.; Crop rotation.; Soil application of Trichoderma asperellum (viride) @ 1.0 kg/ac.; Spray Cyazofamid 34.5% SC @ 80 ml/ac or Azoxystrobin 23% SC @ 200 ml/ac or Mancozeb 35% SC @ 1000 g/ac or Zineb 75% WP @ 800 g/ac or Azoxystrobin 18.2%+ Difenoconazole 11.4% SC @ 200 ml/ac,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_8.html
Bacterial wilt,Ralstonia solanacearum,Infected plants and soil,Ralstonia solanacearum(Smith) Yabuuchi,,,Infected plants and soil,"Infected plants.; Wounds, soil and implements.",High soil moisture.,Crop rotation.; Disease free seedlings.; Restriction of irrigation.; Drenching with bleaching powder @ 4 kg/ac.; Soil application of neem cake @ 100 kg/acre.,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_5.html
Leaf curl,Tomato leaf curl virus,Severe stunting of plants; Downward rolling and crinkling of the leaves; Older leaves become leathery and brittle; Shortening of internodes; Appearence of more lateral branches - bushy appearance,Tomato leaf curl virus (TLCV),,,,Whiteflies.; Movement of infected plants.,,"Raising nursery in protected condition.; Growing Sorghum, Maize or Bajra as barrier crop.; Use of disease free seeds.; Yellow sticky traps @ 5nos./ac.; Remove alternate weed host - Abutilon indicum.; Spraying Dimethoate 30 EC @ 200 ml/ac or Methyl demeton 25 EC @ 200 ml/ac or Thiamethoxam 25 WG @ 200 g/ac or Imidacloprid 17.8 SL @ 200 ml/ac",https://agritech.tnau.ac.in/crop_protection/tomato_diseases_6.html
Tomato Spotted Wilt,Groundnut bud necrosis virus / Tomato spotted wilt virus,Severe stunting .; Chlorotic or necrotic ringson leaves.; Thickening of veins and bronzing of young leaves.; Growing tips die-back and wilt.; Yellow areas with concentric circular markings  in fruit.; Discoloration of seed.,Groundnut bud necrosis virus / Tomato spotted wilt virus,,,,"Infected plants.; Thrips, Frankliniella schultzii, Scirtothrips dorsalis.",,"Use of healthy seedlings for transplanting.; Rouging of infected plants upto 45 days of planting .; Growing sorghum, maize or bajra as barrier crop.; Apply any one of the following insecticide: Cyantraniliprole 10.26 OD @ 900 ml/ha,Thiamethoxam 70 WS @ 300 ml / ha,Imidachloprid 17.8 SL @ 250 ml / ha.",https://agritech.tnau.ac.in/crop_protection/tomato_diseases_7.html
Bacterial stem and fruit canker,Clavibacter michiganensis sub sp. michiganensis,"Seedlings, leaves, stem and fruits are affected; Spots on leaves, stems and fruits; White blister like spots in the margins of leaves and turn brown.; Wilting of leaves and shoots, streaks on stems and petioles.; Small, water soaked spots with white halo on fruits.; Centre of spots become slightly raised; tan coloured and rough; Cankers develop and form  cracks; slimy bacterial ooze through cracks.; Vascular discolouration.",Clavibacter michiganensis subsp. michiganensis(Smith) Davis,,"Gram-positive, non-motile, rod-shaped, aerobic bacterium",In Infected debris,Infected plant debris and seed.; Rain splash,Soil temperature - 28°C.; High humidity or persistent dew.; Moist weather with intermittent showers,Field sanitation.; Crop rotation with non host crops.; Use of disease free seeds.; Disinfection of tools and implements.; Removal of weeds,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_9.html
Powdery Mildew,Leveillula taurica / Oidiopsis neolycopersici,"Irregular, bright yellow blotches with yellow halo appear on leaves.; Abundant white sporulation in the infected area of leaves",â€“Leveillula taurica (Oidiopsis sicula) Oidiopsis type,,"Hyaline and septate, endophytic",Obligate parasite,Infected Debris.; Wind.,Warm and dry weatherC.,Field sanitation.; Spray Propiconazole 25% EC @200 ml/ac.; Seed treatment with Bacillus subtilis @ 10 g/kg seeds,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_10.html
Bacterial leaf spot,Xanthomonas axonopodis pv. vesicatoria,"Small, brown, water soaked, circular spots with yellow halo on leaves.; Defoliation of older leaves.; Small, water-soaked spots on green fruit .; Centre of spots become irregular, light brown with sunken and scabby surface.",Xanthomonas axonopodis pv. vesicatoria (ex Doidge) Vauterin,,,Infected debris,Infected plant debris and seed.; Rain splash,Moist weather and splattering rains.; High humidity or persistent dew.,Use of disease free seed.; Spray Streptocycline 40-100 ppm (20 g/ac).,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_11.html
Mosaic,Cucumber mosaic virus,"Light and dark green mottling on leaves; Wilting of young leaves; Leaflets distorted and puckered; Fern leaf symptoms; Stunted growth
 	 
.",Tomato Mosaic Virus,,,Infected debris,"In Infected debris.; Contact with clothes, hand of labourers and implements.","Temperature, day length and light intensity, variety, age of the plant at infection and the virulence of the strain of CMV.",Disease free seeds.; Removal of infected plants.; Crop rotation,https://agritech.tnau.ac.in/crop_protection/tomato_diseases_12.html
